GPS Time (HHMMSS), Runtime in ms, GPS Altitude, Latitude, Longitude, Number of Satellites, Speed (m/s), Pressure (atm), Pressure Altitude, Internal Temperature (TMP36) (C), Outside Temperature (Thermistor) (C), Humidity, X-Acceleration (Gs), Y-Acceleration (Gs), Z-Acceleration (Gs), Microphone, RPi On/Off
15:20:46, 1707651, 258.90, 41.574222, 84.594779, 07, 0.07, 1.00, 47.58, 22.89, 10.53, -112.43, 0.23, 0.24, 0.92, 2.64, 0
15:20:47, 1708701, 258.90, 41.574218, 84.594779, 07, 0.01, 0.97, 223.10, 24.19, 14.55, -113.43, 0.26, 0.20, 0.96, 2.82, 0
15:20:48, 1709907, 258.90, 41.574218, 84.594779, 07, 0.06, 0.97, 27.62, 27.63, 15.61, -113.43, 0.35, 0.11, 0.92, 2.76, 0
15:20:49, 1710702, 258.90, 41.574218, 84.594779, 07, 0.13, 0.97, 47.55, 23.76, 14.55, -98.49, 0.19, 0.29, 0.91, 2.76, 0
15:20:50, 1711650, 258.90, 41.574218, 84.594779, 07, 0.11, 1.00, 47.93, 21.17, 14.55, -96.50, 0.16, 0.29, 1.02, 2.84, 0
15:20:51, 1712672, 258.90, 41.574218, 84.594779, 07, 0.12, 0.97, 179.78, 22.89, 10.88, -95.50, 0.23, 0.01, 1.11, 2.84, 0
15:20:52, 1713658, 258.90, 41.574218, 84.594772, 07, 0.11, 0.98, 180.52, 27.63, 14.55, -113.43, 0.38, 0.31, 0.94, 2.74, 0
15:20:53, 1714893, 258.90, 41.574218, 84.594772, 07, 0.10, 1.00, 239.99, 27.63, 10.88, -111.44, 0.32, 0.31, 0.97, 2.86, 0
15:20:54, 1715672, 258.90, 41.574214, 84.594772, 07, 0.10, 1.00, 223.26, 22.46, 15.39, -98.49, 0.11, -0.12, 1.01, 2.80, 0
15:20:55, 1716705, 258.90, 41.574214, 84.594772, 07, 0.11, 0.97, 182.12, 23.76, 14.55, -113.43, 0.52, -0.04, 0.91, 2.81, 0
15:20:56, 1717703, 258.90, 41.574214, 84.594779, 07, 0.13, 1.00, 7.59, 21.17, 10.53, -119.41, 0.13, 0.12, 1.21, 2.77, 0
15:20:57, 1718707, 258.90, 41.574214, 84.594772, 07, 0.11, 1.00, 222.45, 23.76, 12.55, -108.45, 0.28, -0.07, 1.22, 2.89, 0
15:20:58, 1719871, 258.90, 41.574214, 84.594772, 07, 0.10, 0.97, 48.31, 29.36, 15.82, -104.47, 0.42, 0.12, 1.21, 2.86, 0
15:20:59, 1720647, 258.90, 41.574214, 84.594772, 07, 0.17, 0.97, 159.42, 21.17, 12.36, -107.45, 0.39, 0.07, 1.16, 2.89, 0
15:21:00, 1721664, 259.00, 41.574214, 84.594772, 07, 0.09, 0.98, 220.90, 23.33, 14.55, -100.48, 0.35, 0.19, 1.01, 2.72, 0
15:21:01, 1722715, 259.00, 41.574214, 84.594772, 07, 0.09, 1.00, 239.99, 27.63, 10.88, -109.45, 0.28, 0.19, 0.94, 2.77, 0
15:21:02, 1723662, 259.00, 41.574214, 84.594772, 07, 0.06, 0.97, 47.64, 23.33, 10.53, -113.43, 0.32, 0.19, 0.91, 2.88, 0
15:21:03, 1724880, 259.00, 41.574214, 84.594772, 07, 0.05, 0.97, 223.60, 23.33, 14.55, -111.44, 0.33, 0.21, 0.96, 2.78, 0
15:21:04, 1725685, 259.00, 41.574214, 84.594764, 07, 0.04, 1.00, 37.82, 21.17, 10.53, -113.43, 0.09, 0.11, 1.19, 2.91, 0
15:21:05, 1726671, 259.00, 41.574214, 84.594764, 07, 0.07, 0.98, 7.60, 23.76, 11.24, -113.43, 0.07, 0.01, 1.22, 2.91, 0
15:21:06, 1727700, 259.00, 41.574214, 84.594772, 07, 0.09, 1.00, 221.97, 23.76, 15.39, -100.48, 0.19, 0.19, 0.91, 2.80, 0
15:21:07, 1728701, 259.00, 41.574214, 84.594772, 07, 0.03, 0.97, 169.65, 24.19, 11.24, -115.42, 0.29, 0.21, 1.11, 2.73, 0
15:21:08, 1729954, 259.00, 41.574214, 84.594772, 07, 0.07, 0.98, 221.05, 23.33, 14.55, -101.48, 0.35, 0.19, 1.07, 2.77, 0
15:21:09, 1730755, 259.00, 41.574214, 84.594772, 07, 0.03, 0.97, 7.73, 24.19, 13.33, -110.44, 0.28, -0.11, 1.27, 2.80, 0
15:21:10, 1731762, 259.00, 41.574214, 84.594772, 07, 0.02, 0.97, 47.64, 23.33, 10.53, -111.44, 0.41, -0.02, 0.99, 2.86, 0
15:21:11, 1732706, 259.00, 41.574214, 84.594772, 07, 0.08, 0.97, 223.43, 24.62, 14.55, -113.43, 0.41, 0.07, 0.87, 2.82, 0
15:21:12, 1733744, 259.00, 41.574214, 84.594772, 07, 0.08, 0.99, 254.22, 22.89, 11.24, -114.43, 0.42, -0.04, 0.91, 2.90, 0
15:21:13, 1734908, 259.00, 41.574214, 84.594772, 07, 0.05, 0.98, -2.34, 30.22, 15.82, -98.49, 0.48, 0.07, 0.91, 2.77, 0
15:21:14, 1735704, 259.00, 41.574214, 84.594764, 07, 0.10, 1.00, 220.61, 23.76, 15.39, -102.47, 0.35, 0.03, 0.91, 2.87, 0
15:21:15, 1736692, 259.00, 41.574214, 84.594764, 07, 0.11, 0.97, 159.31, 27.63, 13.14, -101.48, 0.13, 0.05, 1.17, 2.70, 0
15:21:16, 1737757, 259.00, 41.574214, 84.594764, 07, 0.11, 0.98, 220.90, 24.62, 11.24, -98.49, 0.01, -0.04, 1.22, 2.89, 0
15:21:17, 1738777, 259.00, 41.574214, 84.594772, 07, 0.07, 1.00, 239.84, 24.19, 15.82, -98.49, 0.07, 0.15, 1.07, 2.81, 0
15:21:18, 1739969, 259.00, 41.574214, 84.594772, 07, 0.13, 0.97, 47.64, 23.33, 11.24, -99.49, 0.09, 0.03, 0.92, 2.87, 0
15:21:19, 1740735, 259.00, 41.574214, 84.594772, 07, 0.10, 0.97, 223.43, 23.76, 14.55, -113.43, 0.23, 0.12, 0.96, 2.81, 0
15:21:20, 1741731, 259.00, 41.574214, 84.594772, 07, 0.08, 0.98, 265.07, 23.76, 11.06, -111.44, 0.20, -0.06, 1.16, 2.76, 0
15:21:21, 1742725, 259.00, 41.574214, 84.594772, 07, 0.15, 0.98, 27.55, 24.62, 14.55, -96.50, 0.17, 0.16, 0.91, 2.75, 0
15:21:22, 1743745, 259.00, 41.574218, 84.594772, 07, 0.04, 0.99, 220.90, 24.19, 10.88, -111.44, 0.09, 0.13, 0.91, 2.88, 0
15:21:23, 1744932, 259.00, 41.574214, 84.594772, 07, 0.06, 0.97, 179.66, 23.33, 11.24, -115.42, 0.17, -0.02, 1.01, 2.87, 0
